uid,field,field_type,description,possible_values
universally unique identifier,stop_id,int64,unique identifer for stop,
universally unique identifier,pid,int64,unique identifer for person on a stop,
universally unique identifier,race,str,officer's perception of the race(s) of the person stopped,https://oag.ca.gov/system/files/media/ripa-final-text-of-proposed-regulations.pdf
