uid,field,field_type,description,possible_values
universally unique identifier,stop_id,int64,unique identifer for stop,
universally unique identifier,pid,int64,unique identifer for person on a stop,
universally unique identifier,resultkey,int64,outcome(s) of stop (code),see result attribute for descriptions of codes
universally unique identifier,result,str,outcome(s) of stop (description),https://oag.ca.gov/system/files/media/ripa-final-text-of-proposed-regulations.pdf
universally unique identifier,code,float64,"specific violation if stop outcome is warning, citation or custodial arrest (code)",see resultText attribute for descriptions of codes
universally unique identifier,resulttext,str,"specific violation if stop outcome is warning, citation or custodial arrest (description)",
