"UID","ID","PID","BASISFORPROPERTYSEIZURE","INSERTDATETIME"
"118592c",118592,1,"Safekeeping as allowed by law/statute","2024-11-13 10:21:57.617"
"91487c",91487,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"91897c",91897,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"91932c",91932,1,"Safekeeping as allowed by law/statute","2024-11-13 10:21:57.617"
"91937c",91937,1,"Safekeeping as allowed by law/statute","2024-11-13 10:21:57.617"
"91940c",91940,1,"Evidence","2024-11-13 10:21:57.617"
"91940c",91940,2,"Contraband","2024-11-13 10:21:57.617"
"91940c",91940,2,"Evidence","2024-11-13 10:21:57.617"
"91941c",91941,1,"Contraband","2024-11-13 10:21:57.617"
"91941c",91941,1,"Evidence","2024-11-13 10:21:57.617"
"91941c",91941,2,"Contraband","2024-11-13 10:21:57.617"
"92071c",92071,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"92097c",92097,1,"Contraband","2024-11-13 10:21:57.617"
"92111c",92111,1,"Contraband","2024-11-13 10:21:57.617"
"92111c",92111,1,"Evidence","2024-11-13 10:21:57.617"
"92210c",92210,1,"Contraband","2024-11-13 10:21:57.617"
"92210c",92210,1,"Evidence","2024-11-13 10:21:57.617"
"92235c",92235,1,"Evidence","2024-11-13 10:21:57.617"
"92256c",92256,1,"Evidence","2024-11-13 10:21:57.617"
"92314c",92314,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"92366c",92366,1,"Safekeeping as allowed by law/statute","2024-11-13 10:21:57.617"
"92366c",92366,1,"Evidence","2024-11-13 10:21:57.617"
"92385c",92385,1,"Contraband","2024-11-13 10:21:57.617"
"92445c",92445,1,"Evidence","2024-11-13 10:21:57.617"
"92655c",92655,1,"Contraband","2024-11-13 10:21:57.617"
"92655c",92655,1,"Evidence","2024-11-13 10:21:57.617"
"92666c",92666,1,"Contraband","2024-11-13 10:21:57.617"
"92666c",92666,1,"Evidence","2024-11-13 10:21:57.617"
"92837c",92837,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"92899c",92899,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"93009c",93009,1,"Evidence","2024-11-13 10:21:57.617"
"93009c",93009,2,"Evidence","2024-11-13 10:21:57.617"
"93009c",93009,3,"Evidence","2024-11-13 10:21:57.617"
"93009c",93009,4,"Evidence","2024-11-13 10:21:57.617"
"93034c",93034,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"93068c",93068,1,"Contraband","2024-11-13 10:21:57.617"
"93077c",93077,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"93120c",93120,1,"Evidence","2024-11-13 10:21:57.617"
"93169c",93169,1,"Contraband","2024-11-13 10:21:57.617"
"93190c",93190,1,"Evidence","2024-11-13 10:21:57.617"
"93278c",93278,1,"Evidence","2024-11-13 10:21:57.617"
"93278c",93278,1,"Contraband","2024-11-13 10:21:57.617"
"93278c",93278,2,"Contraband","2024-11-13 10:21:57.617"
"93278c",93278,2,"Evidence","2024-11-13 10:21:57.617"
"93291c",93291,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"93310c",93310,1,"Contraband","2024-11-13 10:21:57.617"
"93353c",93353,1,"Contraband","2024-11-13 10:21:57.617"
"93361c",93361,1,"Contraband","2024-11-13 10:21:57.617"
